id,sentiment,text,scores,compound,pos,neu,neg,Predicted_Sentiment
1,Neutral,RT @NancyLeeGrahn: How did everyone feel about the Climate Change question last night? Exactly. #GOPDebate,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
2,Positive,RT @ScottWalker: Didn't catch the full #GOPdebate last night. Here are some of Scott's best lines in 90 seconds. #Walker16 http://t.co/ZSfF…,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.6369}",0.6369,0.174,0.826,0.0,Positive
3,Neutral,RT @TJMShow: No mention of Tamir Rice and the #GOPDebate was held in Cleveland? Wow.,"{'neg': 0.116, 'neu': 0.684, 'pos': 0.2, 'compound': 0.3818}",0.3818,0.2,0.684,0.116,Positive
4,Positive,RT @RobGeorge: That Carly Fiorina is trending -- hours after HER debate -- above any of the men in just-completed #GOPdebate says she's on …,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
5,Positive,RT @DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 http://t.co…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
6,Positive,"RT @GregAbbott_TX: @TedCruz: ""On my first day I will rescind every illegal executive action taken by Barack Obama."" #GOPDebate @FoxNews","{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.5574}",-0.5574,0.0,0.833,0.167,Negative
7,Negative,RT @warriorwoman91: I liked her and was happy when I heard she was going to be the moderator. Not anymore. #GOPDebate @megynkelly  https://…,"{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.7579}",0.7579,0.255,0.745,0.0,Positive
8,Neutral,Going on #MSNBC Live with @ThomasARoberts around 2 PM ET.  #GOPDebate,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
9,Negative,"Deer in the headlights RT @lizzwinstead: Ben Carson, may be the only brain surgeon who has performed a lobotomy on himself. #GOPDebate","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
10,Negative,RT @NancyOsborne180: Last night's debate proved it! #GOPDebate #BATsAsk @BadassTeachersA #TBATs  https://t.co/G2gGjY1bJD,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
